Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
ZEDKO	"Jindřich ""ZEDKO"" Chyba (born May 3, 1998) is a Czech professional Counter-Strike: Global Offensive player for SINNERS Esports."	Jindřich Chyba		Czechia	May  3, 1998 (age 25)	Active	2013 – Present			Rifler	SINNERS Esports			$88,172	Global Offensive
zur1s	"Martin ""zur1s"" Sláma (born August 13, 1998) is a Czech professional Counter-Strike: Global Offensive player."	Martin Sláma		Czechia	August 13, 1998 (age 25)	Active	2015 – Present			AWPer	ENTERPRISE esports		zurys, ZuryS	$4,895	Global Offensive
AcilioN	"Asger ""AcilioN"" Larsen (born September 25, 1996) is a Danish professional Counter-Strike: Global Offensive coach and former CS:GO and Counter-Strike: Source player."	Asger Grunnet Larsen		Denmark	September 25, 1996 (age 27)	Active	2014 – 2023	2023 – Present		Coach				$216,165	Global Offensive
acoR	"Frederik ""acoR"" Gyldstrand (born June 24, 1997) is a Danish professional Counter-Strike: Global Offensive player."	Frederik Gyldstrand		Denmark	June 24, 1997 (age 26)	Active	2015 – Present			AWPer	GamerLegion		terminacoR	$312,908	Global Offensive
aizy	"Philip ""aizy"" Aistrup Larsen (born June 4, 1996) is a Danish professional Counter-Strike: Global Offensive player. He previously most notably played for Team Dignitas, the G2 Esports-FaZe Clan core, and North."	Philip Aistrup Larsen		Denmark	June  4, 1996 (age 27)	Active	2012 – Present			entry fragger	Sashi Esport			$333,135	Global Offensive
alexsomfan	"Alexander ""alexsomfan"" Nielsen (born April 19, 1994) is a Danish professional Counter-Strike: Global Offensive coach and former player."	Alexander Nielsen		Denmark	April 19, 1994 (age 29)	Active	2016 – 2023	2023 – Present		Coach	Astralis Talent			$8,024	Global Offensive
Altekz	"Alexander ""Altekz"" Givskov (born July 8, 2003) is a Danish professional Counter-Strike: Global Offensive player."	Alexander Givskov		Denmark	July  8, 2003 (age 20)	Active	2018 – Present			Rifler	Preasy Esport			$48,949	Global Offensive
Anlelele	"Anton ""Anlelele"" Huynh (born October 11, 2000) is a Danish professional Counter-Strike: Global Offensive player."	Anton Huynh		Denmark	October 11, 2000 (age 22)	Active	2019 – Present			Rifler	Espionage			$8,028	Global Offensive
ave	"Alexander ""ave"" Holdt (born July 10, 1988) is a Danish professional Counter-Strike: Global Offensive coach and retired professional Counter-Strike: Global Offensive and Counter-Strike player. He is well known for his time in-game leading mTw and often regarded as one of the best tactical in-game leaders in Counter-Strike. In September 2020, ave received a 6-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at North.  Additionally, he received a two Major ban in January 2021 from Valve due to exploiting the coaching bug."	Alexander Holdt		Denmark	July 10, 1988 (age 35)	Valve Banned	2005 – 2011, 2015 – 2016, 	2017 – 2019, 2021 – Present		Coach				$93,052	Global Offensive
b0RUP	"Johannes ""b0RUP"" Borup (born September 29, 1999) is a Danish professional Counter-Strike: Global Offensive player."	Johannes Borup		Denmark	September 29, 1999 (age 24)	Active	2015 – Present			support	Astralis			$209,363	Global Offensive
b0ychild	"Patrick ""b0ychild"" Buurmeister is a Danish professional Counter-Strike: Global Offensive player and coach."	Patrick Buurmeister		Denmark		Active	2016 – 2018	2021 2023 – Present		Coach				$2,214	Global Offensive
Basso	"Sebastian ""Basso"" Aagaard (born September 29, 1998) is a Danish professional Counter-Strike: Global Offensive player."	Sebastian Aagaard		Denmark	September 29, 1998 (age 25)	Active	2015 – Present			support	Team Atlantic			$17,524	Global Offensive
BERRY	"Danny ""BERRY"" Krüger (born March 19, 1990) is a Danish professional Counter-Strike: Global Offensive coach for Sprout and retired player."	Danny Krüger		Denmark	March 19, 1990 (age 33)	Active	2009 – 2021	2021 – Present		Coach	Sprout		BERRYFF, BERRY FF	$35,151	Global Offensive
birdfromsky	"Thomas ""birdfromsky"" Due Frederiksen (born September 9, 1993) is a Danish professional Counter-Strike: Global Offensive player."	Thomas Due Frederiksen		Denmark	September  9, 1993 (age 30)	Active	2017 – Present			In-game leader	00 Nation			$87,847	Global Offensive
blameF	"Benjamin ""blameF"" Bremer (born June 10, 1997) is a Danish professional Counter-Strike: Global Offensive player for Astralis."	Benjamin Vang Bremer		Denmark	June 10, 1997 (age 26)	Active	2015 – Present				Astralis			$312,615	Global Offensive
blaq	"Andreas ""blaq"" Elversøe (born August 10, 1994) is a Danish professional Counter-Strike: Global Offensive player. He is currently the CEO of MASONIC."	Andreas Elversøe		Denmark	August 10, 1994 (age 29)	Active	2016 – Present	2018		In-game leader	MASONIC			$7,905	Global Offensive
br0	"Alexander ""br0"" Bro (born May 4, 2002) is a Danish professional Counter-Strike: Global Offensive player."	Alexander Bro		Denmark	May  4, 2002 (age 21)	Active	2017 – Present			Rifler	Monte			$44,833	Global Offensive
brzer	"Benjamin ""brzer"" Jensen (born December 20, 2001) is a Danish professional Counter-Strike: Global Offensive player."	Benjamin Jensen		Denmark	December 20, 2001 (age 21)	Active	2018 – Present			AWPer	Alpha Gaming			$13,031	Global Offensive
Buzz	"Christian Møss ""Buzz"" Andersen (born March 14, 2003) is a Danish professional Counter-Strike: Global Offensive player."	Christian Møss Andersen		Denmark	March 14, 2003 (age 20)	Active	2020 – Present			Rifler	Astralis			$81,976	Global Offensive
Cabbi	"Casper ""Cabbi"" Jensen (born May 29, 1998) is a Danish professional Counter-Strike: Global Offensive player."	Casper Jensen		Denmark	May 29, 1998 (age 25)	Active				entry fragger	Espionage			$24,663	Global Offensive
cadiaN	"Casper ""cadiaN"" Møller (born June 26, 1995) is a Danish professional Counter-Strike: Global Offensive player. He is also a former semi-professional Counter-Strike: Source player."	Casper Møller		Denmark	June 26, 1995 (age 28)	Active	2011 – Present				Heroic		cadiii, Cadian	$615,546	Global Offensive
cajunb	"René ""cajunb"" Borg (born December 13, 1989) is a Danish professional Counter-Strike: Global Offensive and former professional Counter-Strike: Source player."	René Borg		Denmark	December 13, 1989 (age 33)	Active	2010 – Present			Rifler			cajun	$434,611	Global Offensive
casle	"Peter ""casle"" Toftbo Ardenskjold (born September 4, 1986) is a Danish professional Counter-Strike: Global Offensive coach and former Counter-Strike: Global Offensive and Counter-Strike player. In September 2020, casle received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug while with máquinas.  Additionally, he received a five Major ban in January 2021 from Valve due to exploiting the coaching bug."	Peter Toftbo Ardenskjold		Denmark	September  4, 1986 (age 37)	Valve Banned	2009 – 2011, 2015 – 2019, 	2019 – Present		Coach	Astralis		Casle	$1,050	Global Offensive
Celebrations	"Kasper ""Celebrations"" Damgaard (born June 3, 1995) is a Danish professional Counter-Strike: Global Offensive player."	Kasper Damgaard		Denmark	June  3, 1995 (age 28)	Active	2018 – Present							$14,461	Global Offensive
Celrate	"Casper ""Celrate"" Andersen (born November 8, 1997) is a Danish professional Counter-Strike: Global Offensive player who most recently played for Team Singularity."	Casper Andersen		Denmark	November  8, 1997 (age 25)	Active	2015 – Present			Rifler				$2,228	Global Offensive
Chr1zN	"Christoffer ""Chr1zN"" Storgaard (born August 21, 2006) is a Danish professional Counter-Strike: Global Offensive player. He became an in-game leader after joining MOUZ NXT in September 2022 and transitioned from a rifler to an AWPer in July 2023."	Christoffer Storgaard		Denmark	August 21, 2006 (age 17)	Active	2020 – Present				MOUZ NXT			$7,528	Global Offensive
Console	"Mads ""Console"" Skovby (born January 11, 1996) is a Danish professional Counter-Strike: Global Offensive player."	Mads Skovby		Denmark	January 11, 1996 (age 27)	Inactive	2015 – 2019			support				$35,417	Global Offensive
cube	"Benjamin ""cube"" Stabell (born March 22, 1995) is a Danish professional Counter-Strike: Global Offensive coach and former player."	Benjamin Stabell		Denmark	March 22, 1995 (age 28)	Active	2011 – 2015, 2017 – 2021, 	2021 – Present		Coach					Global Offensive
Daffu	"Jakob ""Daffu"" Schildt (born September 24, 1997) is an inactive Danish professional Counter-Strike: Global Offensive player."	Jakob Schildt		Denmark	September 24, 1997 (age 26)	Inactive	2017 – 2022			lurker				$46,506	Global Offensive
dev1ce	"Nicolai ""dev1ce"" Reedtz (known as device and devve prior to 2016) (born September 8, 1995) is a Danish professional Counter-Strike: Global Offensive and former professional Counter-Strike: Source player who is currently playing for Astralis as the AWPer. He is known as one of the best players of all time, consistently playing at a very high individual level since 2014. During his 5-year tenure with Astralis from January 2016, when the organization was founded by the Team Questionmark players, to April 2021, when he was acquired by NIP, dev1ce won four Majors, earned the MVP award at two of them, and won numerous other tournaments and MVP awards."	Nicolai Hvilshøj Reedtz		Denmark	September  8, 1995 (age 28)	Active	2009 – 2021, 2022 – Present			AWPer	Astralis		device, devve, Sundevice	$2,004,178	Global Offensive
doktizh	"Mosaver ""doktizh"" Bandri (born May 10, 1996) is an inactive Danish professional Counter-Strike: Global Offensive player."	Mosaver Bandri		Denmark	May 10, 1996 (age 27)	Inactive	2012 – 2019			entry fragger				$3,835	Global Offensive
dragoNfly	"Jacob ""dragoNfly"" Lund (born September 15, 1996) is an inactive Danish professional Counter-Strike: Global Offensive player. He is Martin ""stavn"" Lund's older brother and Thomas ""Lifedance"" Lund's younger brother."	Jacob Lund		Denmark	September 15, 1996 (age 27)	Inactive	2016 – 2020			AWPer			GuldsmedeN	$22,765	Global Offensive
dupreeh	"Peter ""dupreeh"" Rasmussen (born March 26, 1993) is a Danish professional Counter-Strike: Global Offensive player who has most recently played for Team Vitality as an entry fragger. For his previous team, Astralis, he has also been the lurker in 2017, and AWPer in early 2021. He was a core member of the Astralis lineup since the very beginning, when it started in Copenhagen Wolves in January 2013, consisting of former teammates, Nicolai ""dev1ce"" Reedtz and René ""cajunb"" Borg, former in-game leader, Henrik ""FeTiSh"" Christensen, and former coach, Steffen ""3k2"" Markussen; this came to an end in November 2021 when he was benched and later transferred to Vitality. dupreeh is the most decorated player in Counter-Strike: Global Offensive history, having attended all 19 CS:GO Majors and winning five of them."	Peter Rothmann Rasmussen		Denmark	March 26, 1993 (age 30)	Active	2012 – Present				Team Vitality			$2,198,884	Global Offensive
es3tag	"Patrick ""es3tag"" Hansen (born November 29, 1995) is a Danish professional Counter-Strike: Global Offensive player. He is a tenured player in the Danish scene, having previously played for Tricked Esport, Heroic, and Astralis. Hansen ventured into an international Cloud9 lineup in late 2020 and followed up with Complexity mid-2021, before returning to his Scandinavian roots with NIP mere months later."	Patrick Hansen		Denmark	November 29, 1995 (age 27)	Active	2014 – Present			support	Ninjas in Pyjamas			$267,339	Global Offensive
FaagaN	"Rasmus Møller ""FaagaN"" Thomsen (born May 6, 1988) is a Danish professional Counter-Strike: Global Offensive coach and a retired professional Counter-Strike player. At the start of 2018, he announced his return to the game, becoming AGF Esport's coach."	Rasmus Møller Thomsen		Denmark	May  6, 1988 (age 35)	Active	2005 – 2009	2018 – 2021, 2022 – Present		Coach	Espionage		FaG	$6,632	Global Offensive
farlig	"Asger ""farlig"" Jensen (born March 17, 1999) is a Danish professional Counter-Strike: Global Offensive player."	Asger Chen Jensen		Denmark	March 17, 1999 (age 24)	Active	2017 – Present			AWPer				$106,878	Global Offensive
Fessor	"Frederik ""Fessor"" Sørensen (born January 24, 2001) is a Danish professional Counter-Strike: Global Offensive player."	Frederik Sørensen		Denmark	January 24, 2001 (age 22)	Active	2018 – Present			Rifler				$26,113	Global Offensive
FeTiSh	"Henrik ""FeTiSh"" Christensen (born December 2, 1986) is a Danish professional Counter-Strike: Global Offensive coach and former Counter-Strike: Global Offensive and Counter-Strike: Source player. He was recently the coach for Lyngby Vikings. In September 2020, FeTiSh received a 3.75-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at Heroic.  Additionally, FeTiSh received a one Major ban in January 2021 from Valve due to exploiting the coaching bug."	Henrik Christensen		Denmark	December  2, 1986 (age 36)	Valve Banned	2006 – 2015, 2016 – 2017, 	2017 – Present		Coach				$36,647	Global Offensive
Friis	"Michael ""Friis"" Jørgensen (born March 14, 1989) is an inactive Danish professional Counter-Strike: Global Offensive player and former professional Counter-Strike player."	Michael Jørgensen		Denmark	March 14, 1989 (age 34)	Inactive	2005 – 2017			AWPer			fR11$HA	$115,732	Global Offensive
Frøslev	"Magnus ""Frøslev"" Frøslev (born June 8, 1997) is a Danish professional Counter-Strike: Global Offensive coach and player."	Magnus Frøslev		Denmark	June  8, 1997 (age 26)	Active	2016 – 2021, 2023 – Present	2022 – 2023		In-game leader	MASONIC			$17,852	Global Offensive
gla1ve	"Lukas ""gla1ve"" Rossander (born June 7, 1995) is a Danish professional Counter-Strike: Global Offensive and former professional Counter-Strike: Source player. He is one of the most accomplished in-game leaders in Global Offensive, having led Astralis to four record-breaking Major victories."	Lukas Egholm Rossander		Denmark	June  7, 1995 (age 28)	Active	2010 – Present			In-game leader	Astralis			$1,886,831	Global Offensive
haste	"Thomas ""haste"" Dyrensborg (born January 29, 1991) is a Danish professional Counter-Strike: Global Offensive coach, analyst and former player."	Thomas Dyrensborg		Denmark	January 29, 1991 (age 32)	Active	2011 – 2016, 2017 – 2021, 	2016 2021 2022	2022 2023 – Present	Analyst	Ninjas in Pyjamas		drdyr	$12,740	Global Offensive
holzt	"Nicolaj ""holzt"" Holst (born July 15, 1994) is a Danish professional Counter-Strike: Global Offensive player."	Nicolaj Holst		Denmark	July 15, 1994 (age 29)	Active	2013 – Present							$9,149	Global Offensive
HooXi	"Rasmus ""HooXi"" Nielsen (born May 21, 1995) is a Danish professional Counter-Strike: Global Offensive player."	Rasmus Pallisgaard Nielsen		Denmark	May 21, 1995 (age 28)	Active	2015 – Present				G2 Esports			$399,436	Global Offensive
HUNDEN	"Nicolai ""HUNDEN"" Petersen (born June 8, 1991) is a Danish professional Counter-Strike: Global Offensive coach and analyst and a retired professional Counter-Strike: Global Offensive and Counter-Strike: Source player. In September 2020, HUNDEN received a 12-month ban from all ESIC member events starting August 31, 2020 for exploiting a coach spectating bug.  His ban was later reduced to 8 months for his help in the investigation of the bug.  Additionally, HUNDEN received a five Major ban in January 2021 from Valve due to exploiting the coaching bug.  After waiting out ESIC's ban, he came back from inactivity to coach Heroic once again in April 2021, before being terminated from his contract with the organization on July 29, 2021, after internal investigations revealed that he had allegedly shared ""confidential and sensitive information"" with an individual tied to another organization prior to IEM Cologne 2021.  This investigation was later backed up by ESIC, who in turn issued HUNDEN a two-year ban from ESIC member events on August 27, 2021 for having compromised the event's competitive integrity."	Nicolai Petersen		Denmark	June  8, 1991 (age 32)	Valve Banned	2009 − 2020	2020 2021 2023 − Present	2023		Sashi Esport		hUnDeLaAr	$102,391	Global Offensive
