Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Gabriel Lemesi		Argentina	June 24, 1996 (age 27)	Active	2011 – Present						GAB	$3,579	Global Offensive
Matias Muñiz Cusi		Argentina	September  1, 2004 (age 19)	Active	2019 – Present			support	River Plate Gaming		Abichuela	$6,222	Global Offensive
Leonardo Martín Mariano Acuña		Argentina	April 25, 1996 (age 27)	Active	2019 – Present			entry fragger	EBRO			$3,097	Global Offensive
Ariel Ramirez		Argentina	December 21, 1994 (age 28)	Active	2015 – Present			Rifler				$8,384	Global Offensive
Joaquin Biglieri		Argentina	March  1, 2002 (age 21)	Active	2017 – Present			AWPer	Boca Juniors Gaming		bejota	$10,989	Global Offensive
Lucas Mariotta		Argentina	June 28, 1991 (age 32)	Active	2006 – 2017	2017 – Present		Coach				$56	Global Offensive
Nicolas Cespedes		Argentina	December 14, 1998 (age 24)	Active	2019 – Present			entry fragger	Boca Juniors Gaming		BK1-	$9,567	Global Offensive
Nicolás Kramer		Argentina	February 24, 2003 (age 20)	Active	2018 – Present			entry fragger	9z Team			$30,056	Global Offensive
Ana Azul Giglio		Argentina	September 19, 2003 (age 20)	Active	2021 – Present			entry fragger				$8,590	Global Offensive
Evelin Denisse Acuña		Argentina	April 11, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			Rifler	MIBR Female		chjna4q, chjna	$9,533	Global Offensive
Matias Gayoso		Argentina		Active	2014 – Present			support				$1,127	Global Offensive
Patricio Cabrio		Argentina	December  6, 1988 (age 34)	Active	2004 – 2012, 2022 – Present							$1,491	Global Offensive
Marcos Amato		Argentina	September 12, 1997 (age 26)	Active	2018 – Present			entry fragger	BESTIA		decov9jse	$48,445	Global Offensive
Rodrigo Haro		Argentina	February  5, 1993 (age 30)	Valve Banned	2011 – 2018	2018 – Present		Coach	River Plate Gaming			$672	Global Offensive
Lucas Emanuel Lopez		Argentina	June 15, 2002 (age 21)	Active	2018 – Present			Rifler			Emadlz	$1,818	Global Offensive
Facundo Agustín Guzman		Argentina	January  5, 2000 (age 23)	Active	2018 – Present			AWPer	WINDINGO			$9,689	Global Offensive
Sacha Carruccio		Argentina	February  8, 1994 (age 29)	Active	2015 – 2022, 2022 – Present							$2,344	Global Offensive
Carlos Sebastian Palacios Cavion		Argentina	November 11, 1999 (age 23)	Active	2017 – Present						iKrystal	$5,905	Global Offensive
Guido Romano		Argentina	April  7, 1997 (age 26)	Active	2018 – Present				River Plate Gaming		guidimonster, guidimon, m0nster, MONSTER	$7,001	Global Offensive
Germán Morath		Argentina	April 23, 1990 (age 33)	Valve Banned		2016 – Present		Coach			Hellpopovich, Hellpo		Global Offensive
Leandro Barrios		Argentina	November  4, 2000 (age 22)	Active	2020 – Present			AWPer	River Plate Gaming			$3,064	Global Offensive
Jonathan Muñoz		Argentina	November 13, 1991 (age 31)	Active	2008 – Present				VELOX Argentina		J.B, jotita_be	$23,772	Global Offensive
Gianfranco Pantano		Argentina	November 17, 2000 (age 22)	Active	2015 – Present				Furious Gaming			$3,666	Global Offensive
Julieta Grillia		Argentina	March  5, 1999 (age 24)	Active	2017 – Present				MIBR Female			$12,942	Global Offensive
Jeremias Di Domenico		Argentina	November 29, 1985 (age 37)	Active	2005 – 2016	2017 2021 – Present		Coach	VELOX Argentina		kMachine, kMach1ne	$579	Global Offensive
Ian Carruccio		Argentina	December  9, 1995 (age 27)	Active	2011 – Present			Rifler			kissmyass	$917	Global Offensive
Ezequiel Palmero		Argentina	August 17, 1997 (age 26)	Active	2016 – Present			In-game leader			ezekunnn, CARRYK	$5,820	Global Offensive
Nicolás Sebastian Lencinas		Argentina	December  6, 1999 (age 23)	Active	2018 – Present			entry fragger	Boca Juniors Gaming			$6,695	Global Offensive
Martin Miozzo		Argentina	January 18, 1987 (age 36)	Active	2005 – Present				Belgrano Esports			$1,540	Global Offensive
Joaquin Cuevas		Argentina	May  8, 1993 (age 30)	Active	2015 – 2017	2018 – Present	2023		Fluxo		LokomotioN	$3	Global Offensive
Luciano Valentin Herrera		Argentina	May 11, 2001 (age 22)	Active	2020 – Present			entry fragger	BESTIA			$25,463	Global Offensive
Luca Nadotti		Argentina	March 26, 1997 (age 26)	Active	2017 – Present						LukN, LukenSkywalker, LukenSSJGOD	$19,207	Global Offensive
Lucia Dubra		Argentina	March 29, 2001 (age 22)	Active	2022 – Present			entry fragger	Ravens			$8,400	Global Offensive
Ignacio Naim Meyer		Argentina	September 10, 2002 (age 21)	Active	2017 – Present			Rifler	BESTIA			$91,372	Global Offensive
Facundo Pereyra		Argentina	June 28, 1992 (age 31)	Active	2014 – Present			Rifler	River Plate Gaming			$7,200	Global Offensive
Mariano Santa Maria		Argentina	June  7, 1994 (age 29)	Active	2011 – Present				VELOX Argentina		MRN1	$8,362	Global Offensive
Ignacio Rodriguez		Argentina	August 28, 2003 (age 20)	Active	2019 – Present			Rifler	LRV Esports			$8,308	Global Offensive
Nabil Manir Aleua		Argentina	November 12, 1996 (age 26)	Active	2015 – Present			entry fragger	VELOX Argentina		nabilazo	$20,475	Global Offensive
Ignacio Devita		Argentina	September 18, 1990 (age 33)	Active	2011 – 2019	2019 – Present			Furious Gaming			$1,419	Global Offensive
Nahuel Agustin Herrera		Argentina	March  5, 1998 (age 25)	Active	2016 – Present						nhlg0d, Wonderwall	$4,633	Global Offensive
Nicolás Miozzi		Argentina	April  8, 1997 (age 26)	Active	2015 – Present			lurker			NikoMonster	$18,525	Global Offensive
Nicolás Mariano Dávila		Argentina	January 19, 1993 (age 30)	Active	2006 – Present				BESTIA		k0nest	$66,671	Global Offensive
Owen Mathias Veron		Argentina	June  6, 2001 (age 22)	Active	2018 – 2022, 2023 – Present			entry fragger	Dusty Roots		Owensinho, OwenSinhoM	$6,062	Global Offensive
Matias Pavón		Argentina	June 12, 1997 (age 26)	Active	2020 – Present			Rifler	Boca Juniors Gaming		pavv	$4,650	Global Offensive
Agustin Cáceres		Argentina	May 20, 1996 (age 27)	Active	2015 – Present			AWPer	Furious Gaming		peqexao	$6,078	Global Offensive
Rodrigo Manarino		Argentina	February 19, 1986 (age 37)	Active	2002 – 2011, 2015 – 2017, 	2016 2017 – Present		Coach	BESTIA		pino2p, pinokun	$193	Global Offensive
Genaro Manuel Hokama		Argentina	December  2, 1998 (age 24)	Active	2016 – Present			support	WINDINGO		restikk9	$5,126	Global Offensive
Roberto Carlos Themtham		Argentina	July 15, 1992 (age 31)	Active	2011 – Present					Pastor	RVS, revers1ve, RVS10	$34,443	Global Offensive
Hugo Cáceres		Argentina	November 22, 1987 (age 35)	Active	2004 – 2013	2013 – 2018, 2020 – 2021, 2022 – Present					Rewiz, Huguiz	$2,111	Global Offensive
Martin Molina		Argentina	September 15, 2002 (age 21)	Active	2018 - Present			Rifler			Hizook4, Agent ROX	$31,070	Global Offensive
Lorenzo Rugo		Argentina	December 14, 1999 (age 23)	Active	2020	2021 – Present		Coach	Boca Juniors Gaming				Global Offensive
Francisco Massaro		Argentina	March  3, 2000 (age 23)	Active	2019 – Present				EBRO		rsrd, puma rs	$2,779	Global Offensive
Maximiliano Miozzo		Argentina	August  9, 1988 (age 35)	Active	2005 – Present			lurker	Belgrano Esports			$2,542	Global Offensive
Nahuel Vazquez		Argentina	February  8, 1997 (age 26)	Active	2015 – Present			lurker				$11,933	Global Offensive
Tomas Rivero		Argentina	November 14, 2002 (age 20)	Active	2018 – Present				LRV Esports		tom1	$10,036	Global Offensive
Martín Tomás Corna		Argentina	February 15, 2004 (age 19)	Active	2020 – Present			lurker	BESTIA			$16,861	Global Offensive
Santino Rigal		Argentina	September 23, 2004 (age 19)	Active	2018 – Present			AWPer	9z Team		tryzinn, 7ry	$56,205	Global Offensive
Matias Canale		Italy	November 16, 1992 (age 30)	Active	2012 – Present				VELOX Argentina	tutankamon	tute	$12,919	Global Offensive
Vladimir Bancalari		Argentina	November 16, 2001 (age 21)	Active	2020 – 2022, 2023 – Present	2018 – 2019, 2023		In-game leader	Daotsu Esports		xVlaD	$150	Global Offensive
Pablo Adrian Páez Ortega		Argentina	February 16, 1998 (age 25)	Active		2019 – Present		Coach	Daotsu Esports				Global Offensive
Julian Acosta		Argentina		Active	2007 – 2021		2022 – Present		BESTIA		Zorsei	$12,196	Global Offensive
Abraão Soares França Campagnac		Brazil	February 15, 1999 (age 24)	Active	2018 – Present			lurker	Meta Gaming		aBr	$7,524	Global Offensive
Alisson da Silva Farias		Brazil	March 31, 2003 (age 20)	Active	2019 – Present				Meta Gaming			$8,757	Global Offensive
Alexandre dos Santos Silva		Brazil	June 29, 1997 (age 26)	Active	2016 – Present			Rifler	UNO MILLE		ALLE1	$26,770	Global Offensive
Ana Carolina Brito		Brazil	April 17, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			entry fragger	FURIA Esports Female		anna	$12,116	Global Offensive
Luana Archanjo		Brazil	October 13, 1998 (age 24)	Active	2017 – Present							$6,905	Global Offensive
Bruno Câmara		Brazil	January 11, 2002 (age 21)	Active	2017 – 2022, 2023 – Present			Rifler				$43,253	Global Offensive
Bruna Nycoly		Brazil	May 14, 2003 (age 20)	Active	2020 – Present			Rifler	MIBR Female			$7,399	Global Offensive
Pedro Umberto		Brazil	February 21, 2001 (age 22)	Active		2021 – Present		Coach	Case Esports				Global Offensive
Junior Bianchi		Brazil	June 21, 1996 (age 27)	Active		2021 – Present		Coach	DIVINA				Global Offensive
Rodrigo Bittencourt		Brazil	February 18, 1997 (age 26)	Active	2018 – Present				paiN Gaming			$95,463	Global Offensive
Bruno Fukuda Lima		Brazil	July 16, 1990 (age 33)	Active	2003 – 2013, 2015 – 2022, 	2022 – Present		Coach	MIBR		bit1	$80,548	Global Offensive
Pedro Sahdo Mendes		Brazil	December  6, 1999 (age 23)	Active	2016 – Present				BeBold.gg			$4,066	Global Offensive
Pedro Henrique Pizzi Rocha		Brazil	December 27, 2001 (age 21)	Active	2018 – Present				MIBR Academy		BobZ, BobZin, Bobmancha	$5,101	Global Offensive
Gabriela Bokor		Brazil	October 26, 2004 (age 18)	Active	2018 – 2021, 2022 – Present				mocreias			$5,207	Global Offensive
Ricardo de Souza Prass		Brazil	April 10, 1997 (age 26)	Active	2014 – Present			entry fragger	Imperial Esports			$411,283	Global Offensive
Bráulio Piraglia		Brazil	April 25, 1991 (age 32)	Active	2007 – 2011, 2018 – Present						bramais, bra+, brA+	$4,261	Global Offensive
Bruno Custodio de Mendoça		Brazil	June  2, 1994 (age 29)	Active	2015 – Present			Rifler			BRNZ1K	$4,007	Global Offensive
Breno Poletto		Brazil	August 26, 2003 (age 20)	Active	2020 – Present			Rifler	MIBR			$56,969	Global Offensive
Bruno Rodrigues Motta		Brazil	July 26, 2003 (age 20)	Active	2020 – Present			entry fragger	FURIA Academy			$10,406	Global Offensive
Bruno Ono		Brazil	December 17, 1986 (age 36)	Valve Banned	2004 – 2018	2018 – Present			paiN Gaming		ellllll, bruno1	$30,926	Global Offensive
Caike Costa		Brazil	October  9, 1994 (age 29)	Active	2010 – Present			entry fragger			caikett, caike1	$48,178	Global Offensive
Camila Vicentini Natale		Brazil	January  8, 1991 (age 32)	Active	2014 – 2020, 2022 – Present			AWPer				$11,207	Global Offensive
Cássio Ferreira dos Santos		Brazil	March  9, 2002 (age 21)	Active	2020 – Present			AWPer	paiN Gaming			$9,859	Global Offensive
Richard Seidy Yoshita		Brazil	August 17, 2001 (age 22)	Active	2017 – Present			Rifler	Sharks Esports			$15,490	Global Offensive
Marcelo Cespedes		Brazil	June  8, 1998 (age 25)	Active	2015 – Present			entry fragger	FURIA Esports		chelok1ng	$117,027	Global Offensive
Olavo Napoleão		Brazil	March 15, 1988 (age 35)	Active	2004 – 2016	2016 – Present		Coach	Legacy		Chucky	$18,077	Global Offensive
Cristopher Chalus		Brazil	July  1, 1996 (age 27)	Active	2019 – Present			Rifler				$10,409	Global Offensive
Raphael Camargo		Brazil	April 19, 1985 (age 38)	Active	2001 – 2010, 2012 – 2013, 2015 – 2017, 2018	2011 2018 2019 2020 – 2021, 2022 – Present		Coach			Kahgu, cogx, cogu's	$43,626	Global Offensive
Marcelo Augusto David		Brazil	October 31, 1994 (age 28)	Active	2012 – Present				Legacy		cold, gelado	$1,035,380	Global Offensive
Lucas Freitas		Brazil	March 11, 1997 (age 26)	Active	2018 – Present				Meta Gaming			$8,616	Global Offensive
Daniel Leonardo Morgado		Brazil	December 14, 1995 (age 27)	Active	2018 – Present			entry fragger	UNO MILLE			$13,701	Global Offensive
Daniel Marques		Brazil	November  6, 1999 (age 23)	Active	2014 – Present				Corinthians Esports		Dan, DanN	$7,690	Global Offensive
Igor Zaniboni		Brazil	February  9, 1996 (age 27)	Active	2019 – 2021	2022 – Present		Coach	Fluxo Demons				Global Offensive
Lucas Bacelar Sardinha Soares		Brazil	March  1, 2004 (age 19)	Active	2020 – Present			lurker	O Plano			$9,093	Global Offensive
Felipe Delboni		Brazil	December  3, 1997 (age 25)	Active	2011 – Present			Rifler				$16,658	Global Offensive
Brunno Rodolpho Nóbrega de Lara		Brazil	September  3, 1996 (age 27)	Active	2010 – Present			support	Corinthians Esports			$9,082	Global Offensive
Emerson Enrique de Souza		Brazil	April 12, 1999 (age 24)	Active	2018 – Present			AWPer			deshmonster	$7,304	Global Offensive
Lucas Bullo de Lima		Brazil	July  3, 1997 (age 26)	Active	2013 – Present			entry fragger	Paquetá Gaming		destiny, destinyw0w-*, ryt, DESTIINY, destinyy	$53,049	Global Offensive
Patrick Barros de Carvalho		Brazil	June 18, 2000 (age 23)	Active	2019 – Present				Filhos de D10S		detr0it	$5,559	Global Offensive
Amanda Gomez		Brazil	October 18, 1996 (age 26)	Active	2015 – 2020, 2021 2022 – Present			entry fragger			dix	$4,021	Global Offensive
Pablo Fernandes		Brazil	March 25, 1994 (age 29)	Active	2017 – 2020	2020 – Present		Coach	w7m esports				Global Offensive
Danilo Barros		Brazil	September 20, 2002 (age 21)	Active	2021 – Present			Rifler	Sharks Esports		doc	$4,343	Global Offensive
Rodrigo Ausenka		Brazil	September 23, 1998 (age 25)	Active	2017 – Present				Sharks Esports		DrG, DRG	$25,023	Global Offensive
André Wagner de Abreu		Brazil	January 15, 2004 (age 19)	VAC Banned	2019 – Present			Rifler	MIBR			$115,188	Global Offensive
Luigi Castiglione Ciccone		Brazil	February 17, 1995 (age 28)	Active	2009 – Present						dukk4, dukka1	$1,392	Global Offensive
Eduardo Araujo Wolkmer		Brazil	November  9, 2003 (age 19)	Active	2018 – Present				Legacy			$61,298	Global Offensive
Denis Fischer		Brazil	January 26, 1997 (age 26)	Active	2014 – Present			entry fragger			dezoitinho	$18,049	Global Offensive
Raphael Lacerda		Brazil	August 29, 1996 (age 27)	Active	2016 – Present				MIBR		exitzinho, exitt, bbl_exit	$108,289	Global Offensive
Flávio Calheiros Barbosa Filho		Brazil	September 20, 1992 (age 31)	Active		2020 – Present		Coach					Global Offensive
Arthur Schmitt		Brazil	January  5, 1999 (age 24)	Active	2017 – Present			Rifler				$18,755	Global Offensive
Gabriel Toledo de Alcântara Sguario		Brazil	May 30, 1991 (age 32)	Active	2004 – Present				FURIA Esports			$1,163,597	Global Offensive
Julio Souza		Brazil	July  1, 1996 (age 27)	Active	2017 – 2020	2022 – Present		Coach			fatalzao	$2,906	Global Offensive
João Cabral Vasconcellos		Brazil	December 16, 1996 (age 26)	Active	2011 – Present				Imperial Esports		felpera, felpsDABLIU	$359,116	Global Offensive
Fernando Alvarenga		Brazil	October 30, 1991 (age 31)	Active	2011 – Present			entry fragger			ferGOD, ferMONSTER	$1,058,346	Global Offensive
Lincoln Lau		Brazil	January 30, 1990 (age 33)	Active	2004 – 2022	2022 - Present		Coach	Imperial Esports		fnxNTC, fnxL	$426,224	Global Offensive
Filipe de Caires		Brazil	June 13, 1995 (age 28)	Active	2016 – Present			entry fragger	Looking4Org		fP	$7,671	Global Offensive
Leonardo Kurussu		Brazil	July 30, 2001 (age 22)	Active	2019 – Present			entry fragger	Corinthians Esports			$5,145	Global Offensive
Cássio Bergamo Paim		Brazil	August  8, 1999 (age 24)	Active	2016 – Present			support			frostezoR	$3,416	Global Offensive
Gabriela Maldonado		Brazil	May 14, 1999 (age 24)	Active	2016 – Present			Rifler	FURIA Esports Female		Gabih	$35,713	Global Offensive
Gabriela Freindorfer		Brazil	August  2, 1996 (age 27)	Active	2008 – 2021, 2023 – Present			Rifler	FURIA Esports Female		gabssf	$11,125	Global Offensive
Victor Alves Andrade		Brazil	April 25, 2002 (age 21)	Active	2020 – Present			AWPer	Sharks Esports			$18,751	Global Offensive
Gabriel Pereira de Carvalho		Brazil	October  2, 2002 (age 21)	Active	2019 – Present			entry fragger				$7,703	Global Offensive
Lara Baceiredo		Brazil	September 13, 1995 (age 28)	Active	2018 - Present				Fluxo Demons			$17,133	Global Offensive
Nicholas Nogueira		Brazil	May 25, 1990 (age 33)	Active	2006 – 2018	2018 – Present		Coach	FURIA Esports			$15,542	Global Offensive
Augusto Cesar Martins Bertora Araujo		Brazil	October 12, 1990 (age 32)	Active	2011 – 2018, 2020 – 2022, 	2019 – 2020, 2023 – Present		Coach	Team Solid			$3,300	Global Offensive
Gustavo Ribeiro		Brazil	October  6, 1997 (age 26)	Active	2015 – Present							$4,090	Global Offensive
